iter	Logloss
0	0.6637708815
1	0.6358646392
2	0.6122849314
3	0.5875222645
4	0.5626842789
5	0.5423070804
6	0.5239854487
7	0.50593437
8	0.4887906835
9	0.4723580667
10	0.4551662278
11	0.4389003881
12	0.4239353755
13	0.4109760871
14	0.3984304634
15	0.3857699792
16	0.3750125384
17	0.3636203694
18	0.355724191
19	0.3452848361
20	0.3345534593
21	0.3252641597
22	0.3176760469
23	0.3119001956
24	0.3050748305
25	0.2982208343
26	0.2923642533
27	0.286358665
28	0.2797845852
29	0.2732020255
30	0.2677919631
31	0.2641933232
32	0.2606652629
33	0.2546829161
34	0.2493332695
35	0.246291061
36	0.2412893466
37	0.236451134
38	0.2320918724
39	0.2290361676
40	0.2251846706
41	0.2221611352
42	0.2188546488
43	0.2154326499
44	0.2119876419
45	0.2097421887
46	0.207388345
47	0.2047971252
48	0.2020894619
49	0.1994375737
50	0.1975543577
51	0.1962354427
52	0.1942835174
53	0.1923599173
54	0.1902739987
55	0.1884683657
56	0.1866016247
57	0.185029025
58	0.1842334798
59	0.183463065
60	0.1821808323
61	0.180770989
62	0.1801114738
63	0.1794536196
64	0.1788218363
65	0.1771693759
66	0.1760831908
67	0.1753776797
68	0.1739206925
69	0.1728148168
70	0.1720295913
71	0.1716045325
72	0.1705367501
73	0.1696392643
74	0.1687319031
75	0.1677442623
76	0.167397132
77	0.1663918007
78	0.165645761
79	0.1647429634
80	0.1640418254
81	0.1633478977
82	0.1631012221
83	0.1623256884
84	0.1617630528
85	0.1610659369
86	0.1603316402
87	0.1594113833
88	0.1592269973
89	0.1584727293
90	0.1579199297
91	0.1574470586
92	0.1570018566
93	0.1566830577
94	0.1561342785
95	0.1554648039
96	0.1551899077
97	0.1547581961
98	0.1540888882
99	0.1539537082
100	0.1533853818
101	0.1529690179
102	0.1526274059
103	0.152315261
104	0.151905738
105	0.1518016647
106	0.1514865545
107	0.1513408133
108	0.1510384053
109	0.1506260014
110	0.1502864494
111	0.1498411462
112	0.1494987148
113	0.1491539209
114	0.1488177678
115	0.1485993888
116	0.1484286503
117	0.1483048475
118	0.1479193484
119	0.1478118835
120	0.1475908789
121	0.1474489247
122	0.1473751572
123	0.1471105736
124	0.1470272388
125	0.1468985798
126	0.1466468156
127	0.1464803093
128	0.1462044721
129	0.1459404539
130	0.1457149483
131	0.1454509453
132	0.1452646139
133	0.1450687265
134	0.1449537591
135	0.1447848832
136	0.1445429106
137	0.1442402048
138	0.1441571642
139	0.144054191
140	0.144021963
141	0.1439910983
142	0.1436776642
143	0.1436030532
144	0.1433399809
145	0.1430538296
146	0.1429164871
147	0.1427034158
148	0.1426840602
149	0.1424724924
150	0.1423713813
151	0.1421299516
152	0.1418646615
153	0.1417616973
154	0.1415560393
155	0.1415017178
156	0.1414285259
157	0.141264516
158	0.1411012249
159	0.1409985803
160	0.1408403971
161	0.1407942007
162	0.1405481263
163	0.1403441116
164	0.1401787494
165	0.1400910157
166	0.1400255578
167	0.1399435547
168	0.1397788992
169	0.1397362439
170	0.1394902423
171	0.1393934212
172	0.1392289552
173	0.1391320114
174	0.1391005713
175	0.1390469843
176	0.1389755131
177	0.1388801749
178	0.1388116704
179	0.1386956253
180	0.1386552514
181	0.138636813
182	0.1384905715
183	0.1384597929
184	0.1383125626
185	0.1381753505
186	0.1380169645
187	0.1379877556
188	0.1378819173
189	0.1377024137
190	0.137563697
191	0.1375405428
192	0.1375086403
193	0.1374213482
194	0.1373793907
195	0.1372085619
196	0.1371765576
197	0.1371161636
198	0.136947885
199	0.1368295637
200	0.1366287819
201	0.1365796038
202	0.1364157982
203	0.1363323886
204	0.1362533999
205	0.1360995174
206	0.1360277636
207	0.1360033721
208	0.1359246396
209	0.13588541
210	0.1358461555
211	0.1358075101
212	0.1357177787
213	0.1356122972
214	0.1354881919
215	0.1354262411
216	0.1352976176
217	0.1352670817
218	0.135123351
219	0.1350126539
220	0.1349020469
221	0.1348333264
222	0.1347599001
223	0.1346300408
224	0.1345962513
225	0.1344356665
226	0.1343060206
227	0.1342747936
228	0.1342336361
229	0.1341948944
230	0.1340550472
231	0.1340228811
232	0.133984354
233	0.1339572665
234	0.1338000931
235	0.1337761211
236	0.1336734964
237	0.1336201423
238	0.1335899998
239	0.1335208353
240	0.1334756718
241	0.1334239312
242	0.133388794
243	0.1332745069
244	0.1332497527
245	0.1332001053
246	0.1330533223
247	0.1330403012
248	0.1329502718
249	0.1329264105
250	0.1328990993
251	0.1327968817
252	0.1327599776
253	0.132610786
254	0.1325815928
255	0.1324901337
256	0.1324296069
257	0.1323115224
258	0.1322876701
259	0.1322429263
260	0.1322022179
261	0.1321307249
262	0.1321077148
263	0.1319269883
264	0.1318042583
265	0.131749247
266	0.1317349594
267	0.131671975
268	0.1316499625
269	0.1316332619
270	0.1314669061
271	0.1314417192
272	0.1313530627
273	0.1312944984
274	0.1312739285
275	0.131132983
276	0.1311116089
277	0.1309254524
278	0.1308971537
279	0.1308193632
280	0.1307864945
281	0.1307591211
